Yellow line,Magenta line,Pink line,Blue line,Red line,Green line
Samaypur Badli,Janakpuri West,Majlis Park,Dwarka Sector 21,Rithala,Ashok Park Main
Rohini Sector 18/19,Dabri Mor,Shalimar Bagh,Dwarka Sector 8,Rohini West,Punjabi Bagh
Haiderpur Badli Mor,Dashrath Puri,Netaji Subhash Place,Dwarka Sector 9,Rohini East,Shivaji Park
Jahangirpuri,Palam,Shakurpur,Dwarka Sector 10,Pitampura,Madipur
Adarsh Nagar,Sadar Bazaar Cantonment,Punjabi Bagh West,Dwarka Sector 11,Kohat Enclave,Paschim Vihar East
Azadpur,Terminal 1 IGI Airport,ESI Basaidarapur,Dwarka Sector 12,Keshav Puram,Paschim Vihar West
Model Town,Shankar Vihar,Rajouri Garden,Dwarka Sector 13,Kanhaiya Nagar,Peeragarhi
GTB Nagar,Vasant Vihar,Mayapuri,Dwarka Sector 14,Inderlok,Udyog Nagar
Vishwa Vidyalaya,Munirka,Naraina Vihar,Dwarka,Shastri Nagar,Surajmal Stadium
Vidhan Sabha,R.K Puram,Delhi Cantt,Dwarka Mor,Pratap Nagar,Nangloi
Civil Lines,IIT Delhi,Durgabai Deshmukh South Campus,Nawada,Pul Bangash,Nangloi Railway Station
Kashmere Gate,Panchsheel Park,Sir Vishweshwaraiah Moti Bagh,Uttam Nagar West,Tis Hazari,Rajdhani Park
Chandni Chowk,Chirag Delhi,Bhikaji Cama Place,Uttam Nagar East,Shastri Park,Mundka
Chawri Bazar,Greater Kailash,Sarojini Nagar,Janakpuri East,Seelampur,Mundka Industrial Area
New Delhi,Nehru Enclave,South Extension,Tilak Nagar,Shahdara,Ghevra Metro Station
Rajiv Chowk,Kalkaji Mandir,Lajpat Nagar,Subhash Nagar,Mansarovar Park,Tikri Kalan
Patel Chowk,Okhla NSIC,Vinobapuri,Tagore Garden,Jhilmil,Tikri Border
Central Secretariat,Sukhdev Vihar,Ashram,Ramesh Nagar,Dilshad Garden,Pandit Shree Ram Sharma
Udyog Bhawan,Jamia Millia Islamia,Sarai Kale khan Nizamuddin,Moti Nagar,Shaheed Nagar,Bahadurgarh City
Lok Kalyan Marg,Okhla Vihar,Mayur Vihar Phase 1,Kirti Nagar,Raj Bagh,Brigadier Hoshiar Singh
Jor Bagh,Jasola Vihar Shaheen Bagh,Mayur Vihar Pocket 1,Shadipur,Major Mohit Sharma Rajendra Nagar,Satguru Ram Singh Marg
Dilli Haat-INA,Kalindi Kunj,Trilokpuri-Sanjay Lake,Patel Nagar,Shyam Park,
AIIMS,Okhla Bird Sanctuary,East Vinod Nagar-Mayur Vihar-II,Rajendra Place,Mohan Nagar,
Green Park,Botanical Garden,Mandawali-West Vinod Nagar,Karol Bagh,Arthala,
Hauz Khas,,IP Extension,Jhandewalan,Hindon River,
Malviya Nagar,,Anand Vihar,R. K. Ashram Marg,Shaheed Sthal,
Saket,,Karkarduma,Barakhamba Road,,
Qutub Minar,,Karkarduma Court,Mandi House,,
Chhattarpur,,Krishna Nagar,Supreme Court,,
Sultanpur,,East Azad Nagar,Indraprastha,,
Ghitorni,,Welcome,Yamuna Bank,,
Arjan Garh,,Jaffrabad,Akshardham,,
Guru Dronacharya,,Maujpur-Babarpur,Mayur Vihar Extension,,
Sikandarpur,,Gokulpuri,New Ashok Nagar,,
MG Road,,Johri Enclave,Noida Sector 15,,
IFFCO Chowk,,Shiv Vihar,Noida Sector 16,,
Millennium City Centre,,,Noida Sector 18,,
,,,Golf Course,,
,,,Noida City Centre,,
,,,Noida Sector 34,,
,,,Noida Sector 52,,
,,,Noida Sector 61,,
,,,Noida Sector 59,,
,,,Noida Sector 62,,
,,,Noida Electronic City,,
,,,Laxmi Nagar,,
,,,Nirman Vihar,,
,,,Preet Vihar,,
,,,Kaushambi,,
,,,Vaishali,,
